.	35	6166	165209	742979	1341157	1916579	2510224	3117615	3785611	4531382	5283007	6158773	7128385	8210176	9483798	10810405	12329500	14067518	15942150	18204003	20572531	23356938	26435762	29912080	33782529	37897228	42700637	48368051	54411158	61940054	70928600	82121489	95979864	118752535	169596667	341392876	368554703	
.	36	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	36	9341	185982	768782	1366337	1936168	2526234	3127772	3791807	4533134	5282982	6155220	7120135	8200396	9470632	10793188	12309864	14045781	15917515	18175946	20541886	23331530	26413425	29891096	33767856	37890531	42705655	48383934	54446317	61992971	71001015	82210785	96111373	118934546	169767574	341433959	368554703	
.	37	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	37	1086	151189	723301	1315906	1886836	2480344	3089528	3756409	4503466	5258317	6134214	7106730	8193953	9471501	10802953	12328758	14073169	15959430	18228336	20610414	23411623	26508876	30005171	33898899	38040495	42868992	48570013	54646322	62224721	71258659	82494469	96429881	119287987	170132738	341386400	368554703	
.	38	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	38	12050	174208	763374	1374644	1957148	2560209	3172570	3845787	4598767	5356285	6235778	7212836	8304695	9587050	10917140	12445933	14192771	16079913	18344876	20728899	23527966	26624895	30122054	34013286	38155782	42990672	48695045	54779101	62361851	71415842	82647772	96601441	119457743	170239735	341078589	368554703	
.	39	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	39	9250	169525	758367	1368864	1951036	2552685	3167675	3843354	4596941	5357792	6243741	7223290	8316592	9600722	10934767	12467654	14218106	16105419	18377816	20763320	23566811	26668716	30163881	34057039	38204398	43047896	48761746	54849607	62448360	71520373	82777789	96771686	119693115	170486594	341141716	368554703	
.	40	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	40	1110	155107	742906	1351712	1936624	2542283	3162340	3842103	4601098	5365578	6253786	7238057	8337352	9626042	10967602	12505824	14260647	16155393	18429611	20822304	23632514	26738096	30239488	34135067	38287704	43135081	48853794	54948510	62545546	71615092	82865337	96856952	119764663	170517840	340941623	368554703	
.	41	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	41	1237	156768	753719	1370282	1963318	2575183	3200874	3887002	4652938	5422631	6314002	7303941	8409229	9703745	11049026	12595105	14353541	16253565	18532541	20931748	23744536	26856041	30365610	34273413	38434363	43292328	49019982	55129661	62740057	71841241	83111378	97138609	120076507	170815135	340854073	368554703	
.	42	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	42	4541	166692	775767	1402811	2002933	2622151	3252823	3942807	4712270	5485246	6383339	7378056	8486188	9784903	11133808	12679979	14440862	16345933	18629165	21031330	23848638	26968855	30480788	34394671	38565318	43433619	49166006	55280745	62911494	72025369	83300741	97350054	120300462	170990558	340753767	368554703	
.	43	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	43	1118	160193	772666	1402551	2007047	2630479	3268638	3962766	4738559	5516970	6420797	7422528	8539588	9847073	11203071	12758473	14530171	16440601	18732212	21148733	23976063	27108743	30637125	34567807	38755447	43649305	49416484	55559682	63218513	72377657	83696464	97789845	120785495	171433859	340657923	368554703	
.	44	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	44	5859	168764	790332	1429257	2039428	2666735	3307738	4006286	4786013	5566065	6471319	7474285	8591251	9899979	11254556	12812317	14583872	16495162	18784269	21196774	24019685	27143987	30661912	34583271	38768265	43648056	49406772	55543821	63202071	72367172	83682889	97805131	120840732	171511014	340394945	368554703	
.	45	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	45	1373	166471	796532	1442227	2059966	2695153	3342452	4045949	4829626	5615556	6524762	7532686	8655041	9966654	11326586	12890026	14665065	16582284	18874321	21297026	24127028	27259710	30787649	34718315	38911586	43807677	49579200	55724466	63402071	72591708	83925018	98080777	121145886	171774640	340423798	368554703	
.	46	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	46	1538	165879	798320	1448389	2069671	2705399	3355319	4061956	4851458	5642027	6556420	7566355	8691405	10007925	11371867	12940871	14719403	16642417	18940047	21366685	24200007	27334495	30860113	34789048	38987645	43881118	49655773	55812118	63491474	72681526	84023442	98186535	121267170	171887937	340320572	368554703	
.	47	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	47	7770	177915	826918	1491991	2125563	2774474	3433085	4147543	4944727	5742775	6662566	7684798	8819334	10145434	11517951	13097623	14886643	16820154	19128677	21569903	24415915	27573496	31120061	35069813	39286401	44212464	50017701	56199502	63916063	73153850	84534026	98755540	121885432	172446403	340115325	368554703	
.	48	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	48	42381	279885	991053	1714977	2381712	3057360	3726561	4460140	5269538	6073524	7006982	8038093	9177414	10512161	11888959	13473764	15267263	17204782	19520327	21970248	24819360	27981173	31538889	35496640	39730779	44677447	50501202	56704534	64450149	73737019	85142001	99419854	122586812	173046012	339989647	368554703	
.	49	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	49	1504	169004	822465	1492753	2131534	2784497	3450671	4172448	4974734	5779693	6708416	7736072	8877292	10211010	11587394	13172739	14965736	16903110	19215683	21664500	24515356	27674955	31230648	35190469	39421525	44357204	50178492	56378696	64116422	73389377	84792784	99071380	122245697	172766052	340124790	368554703	
.	50	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	50	1928	171249	833755	1512420	2160943	2821755	3494031	4223118	5035240	5846977	6782122	7818920	8969429	10314254	11705355	13306685	15109829	17062614	19390052	21850992	24716156	27898347	31469687	35447964	39705239	44675492	50524892	56758967	64532238	73860200	85295195	99619143	122834734	173309900	339852323	368554703	
.	51	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	51	5603	174764	844435	1530186	2182868	2850344	3526705	4259533	5076736	5893317	6834708	7878439	9034239	10384822	11779024	13384498	15196299	17156134	19488566	21964100	24842081	28033808	31617397	35606775	39874887	44855907	50720981	56963624	64750278	74086867	85526087	99854869	123072078	173464845	339798465	368554703	
.	52	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	52	2659	176013	856231	1552718	2215356	2889405	3575693	4318368	5144866	5969155	6919575	7972857	9140087	10501941	11905106	13521743	15345004	17315178	19660172	22148451	25040382	28248982	31844937	35851278	40135955	45138824	51024669	57292060	65114837	74494052	85987537	100390815	123687461	174108540	339881012	368554703	
.	53	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	53	1558	176392	872920	1586592	2262937	2953659	3650873	4404445	5239381	6072792	7032816	8095069	9270156	10638701	12050998	13674852	15507528	17487185	19840596	22339951	25234097	28450809	32052816	36065842	40365519	45381129	51281322	57561334	65391345	74781757	86281429	100700566	124004734	174350075	339732777	368554703	
.	54	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	54	4770	180578	883225	1603978	2287566	2981708	3686427	4445295	5288598	6129986	7095819	8165428	9348989	10727778	12147347	13782452	15620212	17605338	19964748	22473361	25380095	28605286	32218297	36237763	40548388	45580743	51499308	57802227	65663273	75102240	86631027	101101314	124457486	174753487	339476417	368554703	
.	55	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	55	1452	179319	898393	1638221	2338303	3052060	3773552	4547913	5404125	6258562	7239152	8321827	9519177	10914221	12348747	13997879	15848690	17849848	20225434	22750016	25673614	28913001	32541101	36579378	40905525	45946837	51875088	58191474	66052089	75488167	87013534	101478916	124814352	175037629	339563555	368554703	
.	56	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	56	17064	196845	908370	1635519	2327903	3029197	3737750	4503548	5351602	6195339	7164611	8240852	9428457	10813089	12236962	13878974	15723543	17715173	20082529	22595215	25506380	28739338	32355608	36381972	40695639	45725936	51647685	57949127	65809933	75248623	86774578	101263821	124633386	174875554	339379409	368554703	
.	57	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	57	1402	179816	901270	1637250	2336266	3045739	3762568	4532147	5386847	6238570	7215118	8297344	9492043	10884922	12315548	13962953	15811973	17813911	20184335	22707842	25630285	28869420	32499728	36536209	40865485	45913600	51857516	58186908	66072786	75555158	87113380	101640329	125041344	175281913	339380563	368554703	
.	58	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	58	1308	180554	903285	1641700	2341578	3052034	3769480	4541865	5400253	6254410	7233201	8318945	9516440	10910693	12344761	13996158	15852393	17857024	20228602	22755871	25677094	28924109	32558229	36601441	40943421	46002673	51962947	58310355	66226525	75750814	87361268	101961700	125455079	175703775	339290417	368554703	
.	59	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	59	1473	181047	908554	1653336	2360234	3074821	3798441	4575918	5438563	6296238	7279793	8369737	9571330	10970598	12408040	14062985	15919659	17926692	20304161	22835868	25759233	29007274	32638791	36682949	41023351	46086763	52046459	58395980	66308649	75835378	87427078	102031100	125503348	175694855	339109329	368554703	
