.	29	897	1186	1589	18275	85373	129595	192897	244510	308186	380045	449702	560968	643493	762786	906694	1061352	1255202	1430351	1704115	1976716	2341440	2757297	3230567	3773931	4458755	5370010	6344265	7516939	13234304	15164733	17403577	20388531	24619698	31727018	41878261	59343065	153682847	640048315	642017990	
.	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	30	928	1240	1647	16673	74377	112280	166893	211576	266800	331246	392759	493799	566996	675114	806654	947096	1128022	1288362	1544392	1798304	2138435	2533327	2982145	3498563	4149915	5023521	5964793	7092508	12752906	14621519	16807037	19722676	23878772	30897657	40904945	58088219	151259675	640036973	642013726	
.	31	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	31	829	1089	1452	18475	90042	136302	203559	257393	325319	401649	475615	593888	681898	808938	960212	1122936	1325775	1512080	1798343	2082953	2464561	2895914	3389029	3951548	4658979	5595806	6591486	7801119	13383930	15363976	17637981	20666917	24933093	32076914	42312762	59979160	155675515	640108438	642009861	
.	32	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	32	1074	1445	1963	18778	83413	125440	186660	235881	298263	368762	436328	546120	626727	744941	886846	1039400	1232238	1406157	1679298	1950530	2314001	2727851	3201471	3744210	4427777	5334921	6303914	7479481	13068558	14994327	17217579	20182179	24372071	31407663	41496168	58948694	154553336	640115087	642006179	
.	33	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	33	921	1232	1663	19131	87638	132820	198552	250936	316789	391587	463163	580457	666064	790569	940725	1101456	1303742	1486067	1772165	2056326	2437254	2869553	3365100	3928298	4639189	5583708	6586781	7807278	13427726	15430634	17719005	20771227	25070564	32271521	42594788	60446499	157277943	640125608	642002660	
.	34	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	34	1102	1481	1950	19526	86306	129362	192796	243275	307158	380403	450115	563977	646186	766982	913318	1068991	1268620	1444136	1725388	2001478	2371867	2794163	3277693	3829791	4527691	5450946	6437394	7630132	13122486	15074617	17328373	20331048	24576204	31693294	41883527	59495207	156470320	640203550	641998791	
.	35	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	35	1020	1342	1753	19226	88656	133562	199245	251942	318548	393943	466545	583806	669118	793771	943126	1103660	1305323	1488154	1772815	2055123	2433851	2862006	3352975	3912203	4617501	5549324	6542117	7750627	13482626	15457198	17720850	20735933	24985954	32095787	42308014	60051517	158148370	640119347	641994853	
.	36	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	36	1160	1488	1943	21620	98929	148243	221924	280182	352930	434532	513871	641466	734494	870492	1031954	1205251	1421036	1617851	1922344	2224494	2628744	3080804	3599856	4188296	4929785	5907047	6938017	8202576	13889993	15946672	18282221	21388690	25736619	32987003	43412402	61510322	160464667	640146167	641991131	
.	37	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	37	1327	1629	2094	19565	88588	132857	198617	251203	317271	393041	464967	584132	669851	794724	946978	1107720	1313672	1495269	1784643	2069968	2451696	2885452	3380280	3946773	4657369	5602177	6607102	7824143	13379675	15368675	17657872	20704013	25010886	32215847	42513290	60299243	157908430	640192657	641986331	
.	38	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	38	901	1090	1432	18963	91263	138054	206244	261027	328775	404922	478417	594636	682100	808048	956471	1117352	1315281	1500548	1783219	2064181	2440494	2861812	3348306	3901504	4599374	5519580	6496375	7694678	13139906	15095037	17327478	20306087	24489904	31497224	41622048	59312811	157483283	640170946	641982576	
.	39	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
