.	0	2	14	21	27	32	
A	74	14	21	27	32	36	
A	74	149610	179456	213096	385117	1064413	
A	75	14	21	27	32	36	
A	75	153154	182439	216865	391000	1064471	
A	76	14	21	27	32	36	
A	76	158732	188161	224372	403253	1066711	
A	77	14	21	27	32	36	
A	77	161159	190698	227748	408803	1068151	
A	78	14	21	27	32	36	
A	78	164594	193714	231934	414821	1062598	
A	79	14	21	27	32	36	
A	79	168121	196579	235485	421297	1060533	
A	80	14	21	27	32	36	
A	80	173672	201342	242350	430872	1060054	
A	81	14	21	27	32	36	
A	81	177263	204764	247659	438786	1059027	
A	82	14	21	27	32	36	
A	82	180857	208098	252352	445436	1059862	
A	83	14	21	27	32	36	
A	83	184149	211934	257933	453410	1064154	
A	84	14	21	27	32	36	
A	84	186690	214995	261803	458487	1066366	
A	85	14	21	27	32	36	
A	85	190619	218681	268012	467414	1070269	
A	86	14	21	27	32	36	
A	86	190924	219148	269877	469988	1072427	
A	87	14	21	27	32	36	
A	87	194312	222442	274376	475903	1070851	
A	88	14	21	27	32	36	
A	88	193301	221732	275553	477821	1066457	
A	89	14	21	27	32	36	
A	89	196060	224236	281522	483896	1062814	
A	90	14	21	27	32	36	
A	90	195988	223191	282473	483816	1058643	
A	91	14	21	27	32	36	
A	91	193538	218233	282817	482587	1058412	
A	92	14	21	27	32	36	
A	92	186471	209543	278377	475275	1057050	
A	93	14	21	27	32	36	
A	93	181673	203327	277749	469726	1055703	
A	94	14	21	27	32	36	
A	94	174855	194609	274151	465615	1058210	
A	95	14	21	27	32	36	
A	95	170646	189709	273669	461707	1058597	
A	96	14	21	27	32	36	
A	96	165788	184195	270823	456984	1053025	
A	97	14	21	27	32	36	
A	97	161381	179025	266786	450778	1048032	
A	98	14	21	27	32	36	
A	98	157359	174922	264150	446840	1043894	
A	99	14	21	27	32	36	
A	99	156965	174499	263979	444342	1039345	
A	100	14	21	27	32	36	
A	100	155031	172413	262038	441645	1039311	
A	101	14	21	27	32	36	
A	101	153466	170907	260854	443165	1039883	
A	102	14	21	27	32	36	
A	102	154487	172966	263429	442579	1039397	
A	103	14	21	27	32	36	
A	103	153887	173235	267131	446080	1042246	
A	104	14	21	27	32	36	
A	104	154393	174201	270366	450571	1045939	
A	105	14	21	27	32	36	
A	105	155553	175826	274695	453998	1045171	
A	106	14	21	27	32	36	
A	106	156503	176285	277162	456449	1049487	
A	107	14	21	27	32	36	
A	107	156992	176474	281384	461208	1048090	
A	108	14	21	27	32	36	
A	108	157326	176326	283124	461432	1043741	
A	109	14	21	27	32	36	
A	109	157850	175964	283895	460809	1040572	
A	110	14	21	27	32	36	
A	110	159277	176888	287268	464119	1040617	
A	111	14	21	27	32	36	
A	111	159809	176998	289581	465514	1038773	
A	112	14	21	27	32	36	
A	112	157351	173863	289072	466759	1039828	
A	113	14	21	27	32	36	
A	113	158259	173504	291971	470525	1042433	
A	114	14	21	27	32	36	
A	114	159278	174049	295070	474723	1044119	
A	115	14	21	27	32	36	
A	115	157056	170002	294989	478146	1045901	
A	116	14	21	27	32	36	
A	116	158832	170545	294852	476419	1047508	
A	117	14	21	27	32	36	
A	117	158152	168272	296574	479208	1046467	
A	118	14	21	27	32	36	
A	118	157136	165566	291921	474522	1043883	
A	119	14	21	27	32	36	
A	119	156340	163199	292685	477243	1042880	
A	120	14	21	27	32	36	
A	120	156334	161846	290877	476382	1041725	
A	121	14	21	27	32	36	
A	121	156543	161271	289035	474687	1044895	
A	122	14	21	27	32	36	
A	122	157625	161851	292786	480770	1048010	
A	123	14	21	27	32	36	
A	123	158422	162244	292987	483514	1047786	
A	124	14	21	27	32	36	
A	124	158369	161717	290862	481779	1050835	
A	125	14	21	27	32	36	
A	125	158686	161891	293417	490097	1052995	
A	126	14	21	27	32	36	
A	126	159927	163308	294465	494048	1051642	
A	127	14	21	27	32	36	
A	127	159874	163651	291600	493453	1052870	
A	128	14	21	27	32	36	
A	128	159664	163146	289674	491890	1052144	
A	129	14	21	27	32	36	
A	129	159514	164021	291279	500843	1051283	
A	130	14	21	27	32	36	
A	130	159047	163103	286974	494590	1050726	
A	131	14	21	27	32	36	
A	131	161144	165827	289817	503120	1050190	
A	132	14	21	27	32	36	
A	132	160098	165016	287062	502061	1051461	
A	133	14	21	27	32	36	
A	133	163405	168265	288623	503282	1056632	
A	134	14	21	27	32	36	
A	134	162768	168136	285685	503030	1058860	
A	135	14	21	27	32	36	
A	135	163909	170034	287478	509584	1057480	
A	136	14	21	27	32	36	
A	136	164271	169963	283874	502117	1060948	
A	137	14	21	27	32	36	
A	137	165343	171845	283916	506284	1058748	
A	138	14	21	27	32	36	
A	138	164228	171077	279864	500488	1057529	
A	139	14	21	27	32	36	
A	139	165057	171220	276762	490688	1056388	
A	140	14	21	27	32	36	
A	140	164752	171326	273120	484971	1056152	
A	141	14	21	27	32	36	
A	141	165978	172953	273471	485453	1056525	
A	142	14	21	27	32	36	
A	142	165387	172897	270406	482410	1059445	
A	143	14	21	27	32	36	
A	143	164774	172318	267477	478033	1061691	
A	144	14	21	27	32	36	
A	144	167039	174925	269140	477694	1059991	
A	145	14	21	27	32	36	
A	145	167217	175399	266774	472118	1062552	
A	146	14	21	27	32	36	
A	146	167599	176145	265524	469171	1062450	
A	147	14	21	27	32	36	
A	147	169477	177946	266544	469020	1063368	
A	148	14	21	27	32	36	
A	148	168806	177511	262769	460891	1060222	
A	149	14	21	27	32	36	
A	149	167395	176527	259889	458760	1062396	
T	0	14	21	27	32	
T	0	23479	32462	32518	1022441	
T	1	14	21	27	32	
T	1	16834	29058	29251	670743	
T	2	14	21	27	32	
T	2	26614	35886	36096	1279191	
T	3	14	21	27	32	
T	3	14772	16976	17047	943545	
T	4	14	21	27	32	
T	4	12967	14343	14445	941021	
T	5	14	21	27	32	36	
T	5	17616	21359	22294	59051	906967	
T	6	14	21	27	32	36	
T	6	19117	24277	25105	69109	976074	
T	7	14	21	27	32	36	
T	7	17963	20907	21807	60816	900868	
T	8	14	21	27	32	36	
T	8	20552	25185	28338	72257	1008802	
T	9	14	21	27	32	36	
T	9	21527	23315	27666	65533	966331	
T	10	14	21	27	32	36	
T	10	25863	29425	32125	75930	969367	
T	11	14	21	27	32	36	
T	11	20552	24723	27269	65276	962805	
T	12	14	21	27	32	36	
T	12	26878	30892	35290	83260	1224591	
T	13	14	21	27	32	36	
T	13	22909	25627	29828	68067	1024733	
T	14	14	21	27	32	36	
T	14	25589	28228	33020	74475	1067192	
T	15	14	21	27	32	36	
T	15	23892	26941	31132	71714	1065522	
T	16	14	21	27	32	36	
T	16	23604	26206	30677	69664	1046480	
T	17	14	21	27	32	36	
T	17	23233	25894	29945	69057	1038466	
T	18	14	21	27	32	36	
T	18	26505	29183	33252	75234	1056564	
T	19	14	21	27	32	36	
T	19	23441	26003	29819	68592	1027209	
T	20	14	21	27	32	36	
T	20	24582	27025	30575	69773	1042601	
T	21	14	21	27	32	36	
T	21	25351	27484	30885	70943	1059537	
T	22	14	21	27	32	36	
T	22	26365	28849	32151	73117	1065756	
T	23	14	21	27	32	36	
T	23	26876	28818	32331	73450	1067346	
T	24	14	21	27	32	36	
T	24	27339	29236	32415	72868	1074735	
T	25	14	21	27	32	36	
T	25	28268	30117	33346	73742	1061847	
T	26	14	21	27	32	36	
T	26	28524	30593	33441	73391	1054569	
T	27	14	21	27	32	36	
T	27	29017	31222	34031	74165	1053877	
T	28	14	21	27	32	36	
T	28	34629	37137	39940	83350	1075546	
T	29	14	21	27	32	36	
T	29	29520	31733	34153	73622	1054485	
T	30	14	21	27	32	36	
