.	0	2	11	22	27	32	37	
.	116	21342	228613	5294260	7600433	11317804	16116790	21927133	30361577	
.	117	2	7	11	22	27	32	37	42	
.	117	721855	937457	6343970	8684486	12337863	16856902	22443168	30361577	
.	118	2	7	11	22	27	32	37	42	
.	118	22710	236255	5608582	8200760	12005821	16892343	22440090	30361577	
.	119	2	7	11	22	27	32	37	42	
.	119	20089	236096	5692704	8134455	12024813	17067174	22518315	30361577	
.	120	2	7	11	22	27	32	37	42	
.	120	12943	233970	5796614	8260412	12177540	17198436	22712509	30361577	
.	121	2	7	11	22	27	32	37	42	
.	121	13261	234675	5917243	8375515	12347354	17425305	22863242	30361577	
.	122	2	7	11	22	27	32	37	42	
.	122	16836	245886	6020526	8571535	12549705	17826514	23081183	30361577	
.	123	2	7	11	22	27	32	37	42	
.	123	17731	269254	6627701	9345578	13266530	18470530	23454281	30361577	
.	124	2	7	11	22	27	32	37	42	
.	124	21125	266255	6482696	9382421	13436269	18764005	23646676	30361577	
.	125	2	7	11	22	27	32	37	42	
.	125	20178	269417	6600681	9346364	13523869	18961116	23897579	30361577	
.	126	2	7	11	22	27	32	37	42	
.	126	949790	1199298	7578319	10265175	14267364	19519763	24272970	30361577	
.	127	2	7	11	22	27	32	37	42	
.	127	19067	266804	6867848	9666466	13870890	19301495	24168836	30361577	
.	128	2	7	11	22	27	32	37	42	
.	128	21843	271966	7037378	9971909	14153134	19711235	24324856	30361577	
.	129	2	7	11	22	27	32	37	42	
.	129	26880	283171	7239135	10218156	14422375	19930725	24477313	30361577	
.	130	2	7	11	22	27	32	37	42	
.	130	23750	287390	7407879	10374575	14605459	20119880	24637639	30361577	
.	131	2	7	11	22	27	32	37	42	
.	131	23514	293809	7631990	10699367	14909467	20401855	24790250	30361577	
.	132	2	7	11	22	27	32	37	42	
.	132	26135	313666	8003472	11116264	15284728	20721289	24981926	30361577	
.	133	2	7	11	22	27	32	37	42	
.	133	960249	1241282	8909572	11888713	15991197	21227956	25310805	30361577	
.	134	2	7	11	22	27	32	37	42	
.	134	1172689	1455153	8972003	12047495	16175939	21454951	25466308	30361577	
.	135	2	7	11	22	27	32	37	42	
.	135	1463793	1751000	9664970	12718939	16752870	21891538	25716419	30361577	
.	136	2	7	11	22	27	32	37	42	
.	136	27785	316148	8709521	11939501	16224521	21641814	25637635	30361577	
.	137	2	7	11	22	27	32	37	42	
.	137	726555	1022723	9266732	12375217	16560922	21845876	25755008	30361577	
.	138	2	7	11	22	27	32	37	42	
.	138	958107	1257193	9395492	12486063	16663944	21956490	25797625	30361577	
.	139	2	7	11	22	27	32	37	42	
.	139	26759	330743	8894322	12141853	16440518	21837322	25740992	30361577	
.	140	2	7	11	22	27	32	37	42	
.	140	25722	337920	8979848	12233489	16592668	22007203	25856708	30361577	
