.	13	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	13	772	1104	1493	2325	2930	3596	4225	5008	5772	6778	7748	8917	9980	11287	12805	14417	16481	18736	21341	24578	27318	30157	33992	36839	40972	45373	50396	55431	61299	67184	74168	81627	91130	99654	111809	121384	138456	152244	174466	6622673	
.	14	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	14	677	986	1355	2123	2774	3405	3968	4658	5345	6205	7010	7972	8927	10170	11563	13069	14809	16746	19165	22008	24690	27367	30971	33935	38296	42612	47825	52977	59150	65397	72710	80187	90178	98974	111367	121070	138432	152710	175531	6622673	
.	15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	15	778	1075	1496	2373	3006	3701	4318	5061	5838	6795	7733	8891	10023	11485	13160	15024	17169	19408	22191	25155	27976	30771	34634	37626	42087	46451	51586	56981	63116	69124	76558	84024	93927	102616	115066	124709	141834	155683	177729	6622673	
.	16	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	16	736	1070	1474	2268	2915	3576	4264	5049	5817	6837	7821	9163	10302	11635	12987	14434	16902	18738	21264	23931	26785	29336	32979	35934	40220	44381	49275	54284	60245	66141	73115	80284	90084	98466	110400	119946	137084	150958	173327	6622673	
.	17	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	17	764	1082	1484	2284	2945	3622	4323	5129	5958	7004	8091	9323	10431	11658	13103	14563	17139	19010	21623	24245	27283	29689	33378	36349	40935	45054	50049	54980	61166	67006	74161	81306	91115	99629	111761	121099	137990	151932	173883	6622673	
.	18	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	18	805	1130	1557	2372	3009	3738	4423	5216	5980	6970	7887	8969	10049	11336	12755	14341	16404	18419	21238	24562	27706	30162	33894	36816	41536	45558	50795	55779	62111	68242	75286	82560	92401	100825	113084	122682	139685	153561	175018	6622673	
.	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	19	725	1031	1390	2103	2697	3334	3886	4523	5215	5985	6720	7616	8536	9777	11163	12676	14475	16509	19172	22375	25373	27757	31363	34209	38685	42732	47885	52855	59015	65135	72055	79327	89317	97751	110329	119811	137039	151011	173330	6622673	
.	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	20	645	947	1295	1971	2524	3117	3684	4322	4949	5724	6433	7210	8108	9180	10321	11577	13059	14704	16640	18847	21298	23701	26909	29718	33790	37772	42661	47640	53786	59792	66726	74066	83986	92422	104658	114219	131627	145821	168255	6622673	
.	21	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	21	627	853	1138	1873	2434	2967	3502	4088	4654	5423	6115	6891	7702	8736	9914	11149	12586	14237	16097	18255	20573	22833	25898	28655	32495	36481	41094	46056	51984	57814	64680	71990	81817	90203	102358	111703	128765	142735	165140	6622673	
