.	5	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	5	6394	26311	185300	291009	464376	621781	789005	1017809	1322770	1650689	2003395	2372353	2778007	3152577	3599822	4018361	4386507	4830439	5291470	5733328	6292357	6779253	7430237	7985149	8732485	9346636	10075920	11020895	11784777	13029555	13982800	15081286	16370847	17812139	19338347	21056239	22685951	25164131	27160244	30537260	666012608	
.	6	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	6	3509	38846	168639	258416	407481	538983	686039	900267	1183832	1480578	1804494	2141457	2524102	2849434	3342315	3738935	4058577	4486299	4947283	5345475	5906201	6350877	7008152	7528361	8290666	8869745	9555849	10519577	11242674	12487095	13388243	14428619	15638391	17104646	18533638	20175312	21704903	24172400	26147627	29629335	666012608	
.	7	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	7	27354	48316	181773	272225	426562	564282	715777	927458	1212919	1518511	1843599	2187048	2568580	2904396	3367153	3766095	4102151	4530516	4985435	5393988	5951506	6408942	7057507	7583646	8332365	8923041	9616970	10569774	11301468	12535794	13453095	14512734	15746220	17187593	18642442	20301987	21839776	24273255	26209985	29563948	666012608	
.	8	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	8	3384	31261	153116	236229	382527	509454	653173	860228	1133602	1419808	1726939	2049170	2413910	2721511	3206862	3589864	3899394	4317881	4767456	5151846	5704240	6137048	6785635	7290869	8037807	8611032	9281150	10228876	10939098	12162280	13051574	14080811	15270263	16706871	18110305	19722784	21201130	23602261	25509010	28871463	666012608	
.	9	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	9	49289	74559	227977	331254	496985	650073	815423	1050689	1367492	1706916	2065173	2441052	2857260	3227810	3703219	4126733	4488567	4940003	5414215	5850212	6425086	6903760	7568407	8119493	8887497	9494185	10216853	11183804	11937113	13196442	14136273	15217764	16484307	17949924	19448425	21145976	22741466	25235134	27230868	30662010	666012608	
