.	31	864512	864515	864538	864813	867948	875181	883044	899059	931504	958677	988534	997065	1005660	1010240	1053461	1099629	1140242	1183784	1216602	1240992	1279907	1388957	1418630	1489620	1556387	1669509	1787492	1924561	2049535	2236195	2329583	2807549	2891423	3425099	3848116	4131499	5401560	6114586	9048798	
.	32	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	32	871479	871486	871523	871776	874503	880741	887509	902359	934427	962842	997315	1005165	1012948	1017652	1058413	1105307	1150902	1198021	1231038	1255559	1294808	1409981	1440122	1513162	1581206	1704482	1822465	1967405	2094031	2289474	2385410	2875082	2962858	3500457	3926473	4218075	5496597	6210728	9048798	
.	33	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	33	880557	880563	880593	880851	883488	889387	895916	910514	943431	972612	1009102	1016798	1023891	1028564	1067539	1115164	1163883	1212081	1245627	1270613	1309851	1430212	1460861	1535007	1603110	1733519	1849895	2002024	2130130	2332652	2430381	2929985	3019884	3564910	3996257	4294703	5572539	6292772	9048798	
.	34	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	34	891568	891577	891614	891897	894339	899813	905668	918336	945943	970449	1003172	1011151	1018249	1023389	1062719	1107123	1151274	1194880	1229284	1254488	1296133	1407317	1439246	1508951	1579945	1702861	1814811	1956608	2087843	2270761	2380057	2835757	2940677	3448667	3883478	4176195	5407546	6116905	9048798	
.	35	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	35	905534	905539	905590	905845	908418	915450	922455	937527	961649	979765	1000750	1010062	1017873	1022181	1066743	1107081	1134433	1165662	1198532	1222533	1259992	1347138	1374229	1428726	1493423	1585597	1681692	1793465	1920071	2060643	2175261	2569104	2679580	3139501	3568640	3837968	4870759	5598568	9048798	
.	36	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	36	912103	912108	912171	912460	914563	919877	925408	937864	961686	982933	1008591	1016376	1022797	1027427	1065602	1107841	1143205	1176108	1209536	1233042	1270867	1369245	1398027	1455597	1519573	1628027	1724076	1849585	1977574	2133848	2250001	2656506	2771886	3232489	3660531	3944539	4980905	5714684	9048798	
.	37	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	37	919368	919373	919436	919698	921517	926089	930865	942190	966263	988006	1017473	1024353	1030159	1034830	1070101	1113425	1153540	1187881	1220492	1243552	1281083	1386814	1416351	1475019	1539430	1657876	1754220	1887232	2016955	2181713	2299501	2715344	2833964	3299190	3730890	4023519	5059231	5801510	9048798	
.	38	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	38	928616	928625	928692	928938	930559	934663	938986	949800	974080	995526	1026068	1032842	1038391	1043303	1077435	1121893	1163923	1198327	1231339	1254638	1292349	1401380	1431340	1489997	1555240	1678520	1775025	1912670	2044798	2213158	2333403	2755342	2878692	3347295	3786841	4087955	5115857	5872089	9048798	
