.	146	13499569	19050150	35063846	44437980	55800590	66444761	86284306	153064496	
.	147	2	8	12	22	27	32	37	41	
.	147	13005915	18188877	35784561	44864058	55924836	67238288	87271530	153064496	
.	148	2	8	12	22	27	32	37	41	
.	148	13666526	18762289	36121978	44914427	56134857	68038266	88068310	153064496	
.	149	2	8	12	22	27	32	37	41	
.	149	19680220	24777269	41510728	50656888	61790798	71949268	90646512	153064496	
A	0	12	22	27	32	37	41	
A	0	1416035	1416045	2550712	26441612	26441832	26441836	
A	1	12	22	27	32	37	
A	1	1354985	1354989	2388338	27315167	27317129	
A	2	12	22	27	32	37	
A	2	1576333	1602434	2866564	10720560	31850832	
A	3	12	22	27	32	37	
A	3	1110665	1266334	1949490	4143331	20954355	
A	4	12	22	27	32	37	41	
A	4	2176616	3090777	4040965	7838068	50356360	50356368	
A	5	12	22	27	32	37	41	
A	5	1825064	2542343	3395173	6151235	12706206	50761573	
A	6	12	22	27	32	37	41	
A	6	1506265	1935152	2676714	4675013	9376023	41863836	
A	7	12	22	27	32	37	41	
A	7	1574785	2229983	2908514	4850400	9435235	47203370	
A	8	12	22	27	32	37	41	
A	8	848832	1178731	1577436	2316936	4218056	17831876	
A	9	12	22	27	32	37	41	
A	9	1445806	2104622	3091854	4205498	7978533	35865102	
A	10	12	22	27	32	37	41	
A	10	1226582	1816914	2715877	3698689	7112174	28883587	
A	11	12	22	27	32	37	41	
A	11	1276890	1896613	2750122	3835683	7033197	32479352	
A	12	12	22	27	32	37	41	
A	12	1152273	1680743	2454047	3323053	6148742	25650012	
A	13	12	22	27	32	37	41	
A	13	1117125	1638749	2373093	3197706	5715597	25458700	
A	14	12	22	27	32	37	41	
A	14	1443810	2146857	3178300	4299785	7904859	37155206	
A	15	12	22	27	32	37	41	
A	15	1433125	2150667	3158097	4283599	7766823	38180091	
A	16	12	22	27	32	37	41	
A	16	1538259	2266296	3293563	4457436	8058508	37508705	
A	17	12	22	27	32	37	41	
A	17	1433044	2133394	3105969	4223663	7574872	36939093	
A	18	12	22	27	32	37	41	
A	18	1475122	2177577	3170883	4262945	7651628	36079620	
A	19	12	22	27	32	37	41	
A	19	1525403	2236643	3258456	4361742	7807928	35767295	
A	20	12	22	27	32	37	41	
A	20	1487176	2176673	3171583	4246499	7602652	35069953	
A	21	12	22	27	32	37	41	
A	21	1530155	2228118	3235280	4322258	7745251	34674675	
A	22	12	22	27	32	37	41	
